RANK,ENG,FRA,SPA
9415,protector,protecteur,protector
9425,slam,slam,slam
9435,apocalypse,apocalypse,apocalipsis
9445,shelter,abri,refugio
9455,inflate,gonfler,inflar
9465,bosnian,bosniaque,bosnia
9475,mingle,mêler,mezclar
9485,sexism,sexisme,sexismo
9495,plumbing,plomberie,fontanería
9505,dent,bosseler,abollar
9515,reread,relire,releer
9525,bulldog,bouledogue,bulldog
9535,versatile,polyvalent,versátil
9545,statistic,statistique,estadística
9555,relay,relais,relé
9565,preheat,préchauffer,precalentar
9575,consulate,consulat,consulado
9585,gypsy,gitan,gitano
9595,concur,concourir,concur
9605,avoidance,éviter,evitar
9615,tortilla,tortilla,tortilla
9625,proficiency,compétence,competencia
9635,mediocre,médiocre,mediocre
9645,hierarchical,hiérarchique,jerárquico
9655,tutorial,tutoriel,tutorial
9665,austerity,austérité,austeridad
9675,experimentation,expérimentation,experimentación
9685,game,jeu,juego
9695,deacon,diacre,diácono
9705,longing,désir,anhelo
9715,profile,profil,perfil
9725,resilience,résilience,resistencia
9735,stern,sévère,severo
9745,gladly,avec joie,con gusto
9755,cleanse,nettoyer,limpiar
9765,logistics,logistique,logística
9775,catholicism,catholicisme,catolicismo
9785,evade,éluder,evadir
9795,enrichment,enrichissement,enriquecimiento
9805,salty,salé,salado
9815,seep,s'infiltrer,filtrarse
9825,unauthorized,non autorisé,no autorizado
9835,guided,guidé,guiado
9845,darken,obscurcir,oscurecer
9855,alternate,alternatif,alternativo
9865,vegetarian,végétarien,vegetariano
9875,rebel,rebelle,rebelde
9885,immortal,immortel,inmortal
9895,martini,martini,martini
9905,scientifically,scientifiquement,científicamente
9915,trickle,ruisseler,goteo
9925,aroma,arôme,aroma
9935,one-year,un an,un año
9945,lily,lys,lirio
9955,generating,générant,generando
9965,rover,rover,rover
9975,pleasing,agréable,agradable
9985,dot,point,punto
9995,grunting,grognement,gruñendo
